Title ,  Content
How do pensions work?,Martin Lewis answers your personal finance questions
Steven Spielberg on his jaw-dropping career...,The legendary film director shares the soundtrack of his life with Lauren Laverne
'Can I borrow your bike?',Watch as a policeman borrows a member of the public's bike to chase a drug dealer
How to get into cycling,"Road, track, BMX, mountain and many more - there are so many ways and reasons to start cycling."
How to improve your cycling warm-up,Got a big cycling race coming up? Make sure you make the most of your warm-up with this 20-minute guide.
"January 1, 2024 Israel-Hamas war",Our live coverage of Israel’s war against Hamas has moved here.
Multiple dead in powerful Japan earthquake,"The death toll has risen to at least 15 people after a 7.5 magnitude earthquake struck the west coast of Japan on Monday, according to local authorities."
Israel to pull some troops from Gaza in war against Hamas,"The Israel Defense Forces anticipates warfare in Gaza to last throughout this year as it begins to reduce the number of soldiers in the territory and prepares for a new phase of the conflict, a military spokesman said."
Where to go in 2024: The best places to visit,So many places to see in the world. So many people eager to see them.
This country has more of the world’s 50 best restaurants than any other,You wouldn’t be far off if you guessed Italy or France as the country with more of this year’s “World’s 50 Best” restaurants than any other.
A brief history of the Times Square New Year’s Eve ball drop,"On the last day of each year, it has become a ritual for large crowds to gather in the brightly lit chaos of New York’s Times Square to ring in new beginnings. At 11:59 p.m. a dazzling ball descends down a pole, while attendees – and millions of people tuning in from home – count down from 60. At the stroke of midnight, the crowd erupts into a cacophony of sound, often pulling their loved one in for a ceremonial kiss."
In photos: The angsty era of emo music,"(CNN) — The sun is setting on the Badlands as Amy Fleisher Madden squints through her camera’s viewfinder, searching amidst the red rock and prairie grass for a figure wearing head-to-toe black."
The secret history of the world’s most popular tarot cards,"In a 1908 article, British artist, illustrator and costume designer Pamela Colman Smith shared how she thought paintings should be viewed. “Learn from everything, see everything, and above all feel everything! Find eyes within, look for the door into the unknown country.”"
Look of the week: The hidden meaning behind this royal scarf,"Are you part of a matching pajama family? The twee tradition of Christmas morning coordination has recently become a kind of visual shorthand, allowing the internet to infer all kinds of notions about the inner workings of a stranger’s clan. “If you come from a matching pjs family I can’t relate to you at all,” read one post on X. “I wish my family were a matching pjs type of family,” chimed another."
How leggings became a multibillion-dollar industry,"Few could have predicted that one of the most derided sartorial mainstays of the 1980s — a decade that has never quite enjoyed the style resurgence of the eras that bookended it — would be a multibillion-dollar industry in its own right by the end of the 2020s. Yet it appears that leggings are, in fact, having the last laugh."
Inside the $760M restoration of Notre Dame cathedral,"The spire of Notre Dame, crowned by a brand new golden rooster, regained its place in the Paris skyline last week."
Billions of birds collide with glass buildings — but architecture has solutions,"At least 1,000 birds were killed in one day in early October, when they collided with a single Chicago building, McCormick Place Lakeside Center — the largest convention center in North America. A paradigm of architectural modernism, the Lakeside Centre was built in stages from 1960 to 2017, and is a steel, concrete and glass behemoth."
‘Lost’ ancient Roman palace reopens after 50 years of neglect,"After 50 years of neglect, Rome’s “lost” imperial palace Domus Tiberiana has reopened as an open-air museum."
‘Headquarters of the future’: Plans for Chinese tech firm Tencent’s vast new campus unveiled,"The architects behind Chinese tech giant Tencent’s vast new campus unveiled their plans for the site on Thursday, describing their helix-inspired centerpiece as the “headquarters of the future.”"
"The top interior designers and architects to look out for in 2024, according to Architectural Digest","For over three decades, Architectural Digest has been curating annual lists of the 100 most influential people in interior decoration, architecture and landscape design — and the newly-revealed 2024 edition has no lapse in talent."
CNN Heroes 2023 Voting Disclosures,"The final round of judging will be done by an online viewer vote conducted on www.CNNHeroes.com. Viewers will have the chance to vote in an online poll for the Finalist whose accomplishment, impact and story best exemplifies a CNN Hero. Voting for the CNN Hero of the Year begins November 1, 2023 (8:30 a.m. ET) and continues until Tuesday, December 5, 2023 (11:59 pm PT)."
"2024 US presidential primaries, explained","Before Americans pick a president in November, they get to pick the candidates in a series of primaries and caucuses."
This may be Biden’s best hope of reversing his slide with Black and brown voters,President Joe Biden’s weakness in polls among non-White voters is boosting Republican hopes that the GOP is poised to extend its most important political breakthrough of modern times – and potentially to reshape the competition between the two parties along the way.
Why lab-grown diamond sales are surging,"It’s proposal season, and engagements are on the rise. So are factory-made diamond sales."
The Chevrolet Corvette is officially going electric,"General Motors will produce a fully electric Chevrolet Corvette, GM President Mark Reuss announced in a LinkedIn post Monday morning."
This social app prohibits edited photos to encourage users to be more authentic. It’s growing fast,"Scoot over, Facebook and Instagram."
"BMW reveals its new $120,000 electric flagship","Electric vehicles, with their need for lots of expensive batteries, have often trended towards luxury. Electric cars from Porsche, Mercedes, and Audi have all hit the market in recent years. BMW has come out with its own electric cars like the iX and i4 and now the new i7, a battery-powered take on the brand’s new most expensive sedan."
Opinion: The problem Joe Manchin highlighted is crucial for America’s future,"It took just days for Democrats in the Senate to introduce and then approve $370 billion of climate-change spending, part of the Inflation Reduction Act, which President Joe Biden is expected to sign shortly after the House passes it. But clearing the necessary red tape to spend a cent of that money building any climate-related projects will in many cases take years."
Opinion: The voters sent a message to Trump and Biden,"In Arthur Conan Doyle’s story, “Silver Blaze,” Sherlock Holmes investigates the disappearance of a famous racehorse and the “tragic murder of its trainer.” A police inspector asks the detective, “Is there any point to which you would wish to draw my attention?”"
"Opinion: We’re in a volatile, uncertain moment","In the late 1980s, strategists at the US Army War College popularized the acronym “VUCA” as a lens for viewing a world in turmoil. It stands for “volatility, uncertainty, complexity, and ambiguity.” Or, as professors Nate Bennett and G. James Lemoine wrote years later, “Hey, it’s crazy out there!”"
Opinion: Putin’s army without a cause,"When Russian President Vladimir Putin ordered the invasion of Ukraine in February, many questioned the commitment of his troops to the cause. How strongly would they fight a neighboring nation with longstanding ties and a shared history?"
Opinion: An astonishing fall from grace,"In 1970, a protester in London, angered by the cancellation of a cricket tour, threw an egg at UK Prime Minister Harold Wilson, the leader of the Labour Party. His Conservative Party rival, Edward Heath responded, “This was a secret meeting on a secret tour which nobody is supposed to know about. It means that there are men, and perhaps women, in this country walking around with eggs in their pockets, just on the off-chance of seeing the Prime Minister.”"
Opinion: Trumpism’s unlikely home base,"At the age of 27, Marjorie Merriweather Post inherited her family’s cereal business and helped turn it into a leading food industry company. She wasn’t only an astute proprietor, but knew how to entertain in style: Post sported Marie Antoinette’s diamond earrings at parties, owned what was then the world’s largest private sailing yacht and, with her second husband E.F. Hutton, built a spectacular red-tile-roofed villa in Palm Beach."
Opinion: Joe Biden’s Corvette challenge,It was the rematch the Powell family had been awaiting for six years.
"Opinion: Alexander Hamilton, what happened?","In one of his “Federalist” essays urging New Yorkers to support the newly drafted Constitution, Alexander Hamilton called the judiciary the “weakest” part of the government and wrote that it “will always be the least dangerous to the political rights of the Constitution; because it will be least in a capacity to annoy or injure them.”"
Opinion: The thunderbolts we never saw coming,"When the world’s chaos leaves us beyond words, it’s a natural impulse to search for them elsewhere; in this case, to seek them in how great thinkers and artists have described chaos itself. “There are places for chaos on the page,” wrote poet Stanley Moss. “Chaos is endless longing.” Bob Dylan once wrote, “I accept chaos. I’m not sure whether it accepts me.” Mary Shelley espoused in her 1831 preface to “Frankenstein; or, the Modern Prometheus” that “invention, it must be humbly admitted, does not consist in creating out of void, but out of chaos…”"
Mpox in the United States Fast Facts,"Here’s a look at mpox, formerly known as monkeypox, in the United States. In 2022, an outbreak was declared a public health emergency of international concern by the World Health Organization (WHO). The virus originated in Africa and is the cousin of the smallpox virus."
Worried about your drinking? Use Dry January to check it,There are lots of great reasons to decide to go “dry” in January and give up alcohol. Perhaps you imbibed a bit too much over the holidays or want to start a healthy routine and can’t afford the calories or the zap in energy and motivation that drinking can bring.
The truth about how often you should wash your hair,A report about a cancer-causing chemical being detected in some dry shampoos may have led you rethink your hair care routine. But experts say there isn’t a one-size-fits-all answer to how often you should wash your hair — or what you can do to maintain it on off days.
"Swamp demons, sweater patterns, wolf-tamers and Vogue: The intriguing inspirations of Paulina Olowska","In central London, moments away from the crush of Christmas shoppers on a busy street, a portal to a mystical forest has appeared. It takes you into Pace Gallery and upon stepping inside, visitors are greeted by the sound of birdsong, and surrounded by a series of woodland scenes on vast paintings, each inhabited by a curious cast of characters. Intricately carved wooden frames inspired by Black Forest cuckoo clocks reveal tiny video screens in which the same nymph-like figures come to life."
"‘Almost a clone’: How 3D-printing can reproduce multi-million-dollar masterpieces, stroke by stroke","Advances in laser scanning have transformed how museums research and conserve paintings by mapping the textures, colors and dimensions of their surfaces in minute detail. Now, an innovative Austrian printmaking company is using the technology — and the rich data it produces — to offer art enthusiasts the chance to “live with a masterpiece.”"
"A fashion love story, on both sides of the camera","It’s a simple but elegant black and white portrait of a women in a vintage nightgown — long, white and frilly — standing in a field of tall grass, as a gust of wind sweeps the dress behind her."
The Beatles created a painting together while on tour in Japan. Now it’s up for auction,It was the summer of 1966.
"This 2,300-year-old mosaic made of shells and coral has just been found buried under Rome","A five-year dig into the side of Rome’s Palatine Hill yielded treasure last week when archaeologists discovered a deluxe banquet room dating from around the first or second century BC, featuring a sizable, intact and brightly colored wall mosaic."
"From Taylor Swift to Barbenheimer, the cultural trends that defined 2023","The term “post-Covid” is a troublesome one — not least for those currently living with the disease or its long-term effects. But while experts still consider Covid-19 a pandemic, 2023 was the year the World Health Organization declared that it was no longer “a public health emergency of international concern.”"
'George Soros becomes latest victim of prank 911 call',Billionaire George Soros' estate in New York was targeted in a 'swatting' incident. A false 911 call claiming a violent crime at Soros' residence was made. The caller falsely claimed to have shot his wife and threatened suicide at Soros' mansion. The practice of 'swatting' diverts police resources from real emergencies and terrorizes targeted individuals. Soros is a left-wing billionaire and philanthropist who has been active in supporting various candidates for prosecutor positions across the country.
Australia opt for unchanged line-up in Warner's farewell Test against Pakistan,"Australia have decided not to include a second spinner in the squad for the final Test against Pakistan at the Sydney Cricket Ground. Captain Pat Cummins confirmed the fitness of Australia's fast-bowling trio, highlighting their recovery from the tense second Test in Melbourne. Despite the Sydney Cricket Ground's reputation for favoring spin, the hosts have decided against adding a second spinner to partner Nathan Lyon. The weather looks good this week, with decent grass coverage."
'Bill Clinton among big names to be unmasked in court documents related to Jeffrey Epstein',"Former President Bill Clinton is set to be named as ""John Doe 36"" in previously redacted documents related to Jeffrey Epstein, a convicted sex offender. ABC News reported that Clinton is mentioned over 50 times in these filings, but there is no evidence of his involvement in illegal activities. Manhattan federal Judge Loretta Preska has ordered the unsealing of numerous documents, revealing connections to Epstein. The release, starting on January 2, will disclose the identities of over 170 individuals, including various associates, victims, investigators, and journalists involved in the case."
South Korean opposition leader Lee Jae-myung stabbed in neck in Busan,"South Korean opposition leader Lee Jae-myung was stabbed in the neck during a visit to Busan. The incident occurred while Lee was touring a site proposed for a new airport. Lee, who narrowly missed the presidency in the 2022 election, was immediately rushed to a local university hospital. The assailant, described as a man in his 50s or 60s wearing a paper crown with Lee's name on it, approached Lee under the guise of asking for an autograph before launching the attack. This attack comes ahead of South Korea's parliamentary elections scheduled for April."
Japan in 'battle against time' to rescue New Year's Day earthquake survivors,"A powerful earthquake struck Japan's west coast, causing extensive damage and loss of life. The earthquake, with a magnitude of 7.6, triggered tsunami waves along the western seaboard. Rescue efforts have been hampered by damaged roads and infrastructure. Several deaths have been confirmed, and there have been numerous tremors since the initial earthquake. Evacuation orders were issued for thousands of people, and many areas are still without power and water supply. The earthquake has also affected the nuclear industry, although no irregularities have been reported at nuclear plants. Additionally, damage has been found at a chip materials factory."
South Africa aim for Elgar's Test farewell victory against India in series decider,"South Africa are set to face India in their final Test at Newlands, with captain Dean Elgar biding farewell to his Test career. Elgar has been in prime form in the first Test. India, on the other hand, are expected to make changes to their bowling attack after a comprehensive defeat in the opening Test. Ravindra Jadeja is likely to return, adding depth to India's batting lineup. The Indian bowling lineup may see at least one more change, with Avesh Khan or Mukesh Kumar in contention."
How to make the year 2024 successful? Expert suggests mindset shifts,"The new year calls for mindset alterations and personal growth through evolving our mental frameworks. Embrace radical adaptability, promoting inclusivity in diversity, cultivating digital wellness, fostering a purpose-driven approach, and adopting continuous learning as a lifestyle. These shifts empower us to navigate life's uncertainties, embrace change courageously, and contribute to a more flexible and dynamic global community. By valuing diversity, setting boundaries with technology, aligning with purpose, and embracing lifelong learning, we can achieve personal professional success in 2024."
Decision fatigue and goal setting: Expert shares tips to set resilient goals,"Decision fatigue, a psychological phenomenon that diminishes effective choices, impacts goal setting. Mental fatigue from recurring choices hampers emotional regulation, attention, impulse control, and alternative consideration. To set profound goals, cultivate mindfulness for clarity and match objectives to beliefs. Incorporate gratitude to create a positive mindset. Control emotions for better decision-making and develop emotional intelligence. Approach your goals with gratitude and navigate decision points mindfully. Invest effort consciously and streamline for focused, intentional high payoff in 2024."
Japan lowers tsunami warning after series of earthquakes but says stay away from coast,"Japan dropped its highest-level tsunami alert after a series of major earthquakes but urged residents of coastal areas not to return home due to the possibility of deadly waves. The quakes, with the largest magnitude of 7.6, caused fires and building collapses on Honshu, Japan's main island. The number of casualties remains unknown. The Japan Meteorological Agency initially issued a major tsunami warning for Ishikawa and lower-level warnings for the rest of the western coast of Honshu, emphasizing the need for immediate evacuation from coastal areas. The warning was later downgraded to a regular tsunami."
GST kitty grows 10% in December on strong domestic sources,"Goods and services tax (GST) collections rose 10.3% to Rs 1,64,882 crore during December, driven by domestic sources, while the rise in mop-up from imported goods lagged. Latest data released by the finance ministry pegged collections from domestic sources to have increased 13% in December (for transactions in November). While Central and State GST rose by around 14% each, integrated GST - levied on inter-state sales and imports - grew 7.4%, pulled down by imports. IGST on imports is estimated to have increased 3.2%, indicating that the value of shipments into the country remained muted during November."
Israel to pull back some troops from Gaza to boost economy,"The Israeli military will withdraw troops from the Gaza Strip temporarily, citing the toll on the Israeli economy and the growing death toll in Gaza. The US has been urging Israel to scale back its operations. The military spokesperson emphasized that the demobilization does not indicate a compromise on Israel's intention to continue fighting. Reservists from two brigades will be sent home, and three brigades will be taken back for training. The US President and Secretary of State are involved in discussions with Israel."
Young love meets Russian repression. They say 'I do' in a Moscow prison,"Nadezhda Shtovba marries Yegor Shtovba in a short ceremony at Butyrka prison, where Yegor has been in pretrial detention. Yegor had read a love poem before his arrest, and he denies the accusation of cheering an anti-war poem. The wedding is a testament to their young love in the midst of Russia's crackdown on freedom of expression. Nadezhda and other loved ones of political prisoners face difficulties in maintaining connections. Yegor and poet Artyom Kamardin were sentenced to prison for undermining national security and inciting hatred."
"British Sikh woman trekker, 33, claims solo skiing record","British Sikh army officer and physiotherapist Captain Harpreet Chandi, known as Polar Preet, claimed a new world record for becoming the world's fastest woman to complete a solo South Pole ski expedition. This will now be verified by Guinness World Records and could then become her third world record. As part of her latest solo Antarctic expedition, Chandi set off from Hercules Inlet on the Ronne Ice Shelf and arrived at the South Pole. In Jan last year, she became the first Indian-origin woman to set the record of a solo unsupported trek to the South Pole."
7.6 Quake & Tsunami Waves In Japan,"A powerful earthquake struck Japan, destroying buildings and knocking out power to tens of thousands of homes. Waves and tsunami warnings were issued along the coast, including in neighboring South Korea. The quake was one of many to rock the region on New Year's Day. TV programming was interrupted with the PM urging people to evacuate to higher ground. Buildings collapsed and fires broke out, causing damage and casualties. Power and communication outages were reported, and transportation services were halted or closed due to the earthquake."
"India, Pakistan exchange lists of Nuclear-installations and prisoners","The customary exchange of lists of prisoners and fishermen between India and Pakistan on the first day of the new year took place on Monday with India calling for early release and repatriation of civilian prisoners, missing Indian defence personnel, and fishermen along with their boats, from Pakistan's custody. In this context, Pakistan was asked to expedite the release and repatriation of 184 Indian fishermen, who have completed their sentence, the government said. Under the provisions of the 2008 Agreement on Consular Access, such lists are exchanged every year on January 1 and July 1."
Himachal govt issues notification to give ST status to Hattee community,"The Himachal Pradesh government issued a notification granting Scheduled Tribe status to the Hattee community of Trans-Giri area in Sirmaur district. This decision was delayed due to the state government seeking clarification on the Constitution (Scheduled Tribes) Order. The Hattee community had been demanding ST status similar to the Jaunsar-Bawar area in Uttarakhand. The community expressed gratitude to CM Sukhvinder Singh Sukhu for issuing the notification. Jai Ram Thakur, the leader of the opposition, highlighted the delay in granting the Hattee community tribal status."
"As prices fall, government may lift ban on onion export","The government intervention of procuring kharif onion and disposing them of simultaneously have brought down average retail prices by 30% and wholesale prices by 35% in the past one month. Considering the trend of decline in prices and the short shelf life of the summer crop, the government may look at the option of lifting the export ban in a calibrated manner, officials said. Sources in the onion trade said that they have been informed by government functionaries that the Centre would allow export by government cooperatives."
"Winter wildfires surge in Uttarakhand , 1000+ alerts received","Uttarakhand witnesses rise in winter wildfires, with Forest Survey of India sending 1006 fire alerts between November 1 and January 1. Fires reported across districts including Uttarkashi, Nainital, Bageshwar, Tehri, Dehradun, Pithoragarh, Pauri, and Almora. Concerns raised about increased human-wildlife conflicts as animals try to escape flames. Wildlife conservationists link fires to illegal activities. Reasons for fire surge include controlled burning, agricultural residue burning, waste burning, and forest clearing.  Villagers expressed concern, citing the absence of rainfall or snow in the last three months, making the region dry."
Nobel laureate Yunus sentenced to 6 months in jail by Bangladesh court,"Bangladesh's Nobel laureate economist Dr Muhammad Yunus was sentenced to six months in jail for violating labour laws in a verdict termed as ""politically motivated"". The 83-year-old economist sought bail, which was granted for a month in exchange for a bond. The court gave the defence 30 days to appeal. Yunus, the founder of Grameen Bank, won the Nobel Peace Prize in 2006 for his anti-poverty campaign. He and three colleagues were accused of not creating a workers' welfare fund in Grameen Telecom."
Maoist-forces crossfire claims life of 6-mth-old,"A six-month-old baby was killed and her mother injured during an encounter between security forces and Maoists in Bijapur district, Chhattisgarh. The gun battle took place at Mutvandi village in a forest region, around 45 km from Bijapur town. The forces went on an operation in the forests of Gangaloor, based on specific intelligence about the presence of Chandranna and Mangli, Maoist leaders. The mother and child were caught in the crossfire, and the security forces had to retreat after two personnel were injured."
At least six dead after huge earthquake rocks Japan on New Year's Day,"The powerful earthquake that hit central Japan on New Year's Day killed at least six people, as police and local authorities early on Tuesday reported cases of bodies being pulled from the rubble of collapsed buildings. The quake with a preliminary magnitude of 7.6 struck in the middle of the afternoon on Monday, destroying buildings, knocking out power to tens of thousands of homes and prompting residents in some coastal areas to flee to higher ground. It also triggered waves about 1 metre (3.3 ft) high along Japan's long western seaboard as well as in neighbouring South Korea."
New national cooperation policy to come up this month,"India will introduce a new national cooperation policy this month to strengthen the cooperative movement at the grassroots level. The policy aims to promote cooperative-based economic development through a legal and institutional framework. It will focus on creating vibrant economic entities, modernizing them with technology, expanding into export markets, and providing a level-playing field through incentives and capital infusion. The policy may propose the establishment of a National Cooperative Tribunal and a National Board for Cooperatives, as well as a National Cooperative Bank of India."
